marca,placa,modelo
Chevrolet,OAV2Q94,Onix
Chevrolet,SKC8F91,Cruze
Chevrolet,EUV9C25,Tracker
Volkswagen,CNB8E80,Gol
Volkswagen,WHQ4A54,Polo
Volkswagen,ZJC8V88,T-Cross
Fiat,RGG9K28,Argo
Fiat,BCO7G81,Pulse
Fiat,DEV1F82,Cronos
Hyundai,LEY6W86,HB20
Hyundai,JOT5T54,Creta
Hyundai,CDE7M75,Tucson
Toyota,DZH5O67,Corolla
Toyota,AGI7P92,Hilux
Toyota,LDV5W82,RAV4
Honda,QVT9H95,Civic
Honda,ZOL5I21,HR-V
Honda,XFZ9B82,Fit
Renault,QWP2G38,Kwid
Renault,KMQ6P63,Sandero
Renault,FHW6V51,Duster
Jeep,TSQ1U35,Renegade
Jeep,GNS7J59,Compass
Jeep,XVE8H88,Commander
Ford,BEC7F45,Ka
Ford,LJC4Q73,EcoSport
Ford,QRP7R41,Ranger
Nissan,IEI4Y90,Kicks
Nissan,BCU2B31,Versa
Nissan,DVD3H81,Frontier
Peugeot,NZD4G74,208
Peugeot,VWN2F53,2008
Mitsubishi,PVL3I69,Eclipse Cross
Kia,JKX8J62,Sportage
Kia,AAB5Y75,Stinger
BMW,MRK0C65,320i
Mercedes-Benz,EHU8R01,C200
Audi,MNS9X35,A3
Volkswagen,LJY2D86,Virtus
Chevrolet,VIN9L83,S10
Fiat,OII2U64,Strada
Toyota,BEY6T57,Yaris
Honda,HJD0V55,City
Hyundai,VTA8P22,i30
Volkswagen,FMT4V89,Nivus
Fiat,VSL2T81,Toro
Jeep,PIF1D46,Grand Cherokee
Chevrolet,ZUB3N04,Spin
Ford,PVI2M98,Territory
Renault,CBQ3K18,Captur
